occupational_code,skill,importance
29-9092,Reading Comprehension,4.12
29-9093,,
29-9099,,
31-1121,,
31-1122,,
31-1131,,
31-1132,,
31-1133,,
31-2011,,
31-2012,,
31-2021,,
31-2022,,
31-9011,,
31-9091,,
31-9092,,
31-9093,,
31-9094,Active Listening,4.12
31-9095,,
31-9096,,
31-9097,,
31-9099,,
33-1011,,
33-1012,,
33-1021,,
33-1091,,
33-1099,,
33-2011,,
33-2021,,
33-2022,,
33-3011,,
33-3012,,
33-3021,Active Listening,4.38
33-3021,Speaking,4.25
33-3021,Critical Thinking,4.12
33-3031,,
33-3041,,
33-3051,,
33-3052,,
33-9011,,
33-9021,Active Listening,4.12
33-9031,Monitoring,4.12
33-9032,,
33-9091,,
33-9092,,
33-9093,,
33-9094,,
33-9099,,
35-1011,,
35-1012,,
35-2011,,
35-2012,,
35-2013,,
35-2014,,
35-2015,,
35-2019,,
35-2021,,
35-3011,,
35-3023,,
35-3031,,
35-3041,,
35-9011,,
35-9021,,
35-9031,,
35-9099,,
37-1011,,
37-1012,,
37-2011,,
37-2012,,
37-2019,,
37-2021,,
37-3011,,
37-3012,,
37-3013,,
37-3019,,
39-1013,,
39-1014,,
39-1022,,
39-2011,,
39-2021,,
39-3011,,
39-3012,,
39-3019,,
39-3021,,
39-3031,,
39-3091,,
39-3092,,
39-3093,,
39-3099,,
39-4011,,
39-4012,,
39-4021,,
39-4031,Active Listening,4.12
39-4031,Social Perceptiveness,4.12
39-5011,,
39-5012,,
39-5091,,
39-5092,,
39-5093,,
39-5094,,
39-6011,,
39-6012,Social Perceptiveness,4.12
39-6012,Service Orientation,4.25
39-7011,,
39-7012,Service Orientation,4.12
39-9011,,
39-9031,,
39-9032,,
39-9041,,
39-9099,,
41-1011,,
41-1012,,
41-2011,,
41-2012,,
41-2021,,
41-2022,,
41-2031,,
41-3011,Speaking,4.12
41-3021,,
41-3031,,
41-3041,Active Listening,4.12
41-3041,Service Orientation,4.12
41-3091,,
41-4011,Active Listening,4.12
41-4011,Speaking,4.25
41-4011,Persuasion,4.25
41-4012,,
41-9011,,
41-9012,,
41-9021,,
41-9022,,
41-9031,Speaking,4.12
41-9031,Persuasion,4.12
41-9041,Speaking,4.12
41-9041,Persuasion,4.12
41-9091,,
41-9099,,
43-1011,,
43-2011,,
43-2021,,
43-2099,,
43-3011,,
43-3021,,
43-3031,,
43-3041,,
43-3051,,
43-3061,,
43-3071,,
43-3099,,
43-4011,,
43-4021,,
43-4031,,
43-4041,,
43-4051,,
43-4061,Speaking,4.25
43-4071,,
43-4081,,
43-4111,,
43-4121,,
43-4131,Active Listening,4.12
43-4141,,
43-4151,,
43-4161,,
43-4171,,
43-4181,,
43-4199,,
43-5011,,
43-5021,,
43-5031,Active Listening,4.38
43-5031,Speaking,4.12
43-5032,,
43-5041,,
43-5051,,
43-5052,,
43-5053,,
43-5061,,
43-5071,,
43-5111,,
43-6011,,
43-6012,,
43-6013,,
43-6014,,
43-9021,,
43-9022,,
43-9031,,
43-9041,,
43-9051,,
43-9061,,
43-9071,,
43-9081,Reading Comprehension,4.25
43-9111,Mathematics,4.38
43-9199,,
45-1011,,
45-2011,Quality Control Analysis,4.12
45-2021,,
45-2041,,
45-2091,,
45-2092,,
45-2093,,
45-2099,,
45-3031,,
45-4011,,
45-4021,,
45-4022,,
45-4023,,
45-4029,,
47-1011,,
47-2011,,
47-2021,,
47-2022,,
47-2031,,
47-2041,,
47-2042,,
47-2043,,
47-2044,,
47-2051,,
47-2053,,
47-2061,,
47-2071,,
47-2072,Operation and Control,4.12
47-2073,Operation and Control,4.12
47-2081,,
47-2082,,
47-2111,,
47-2121,,
47-2131,,
47-2132,,
47-2141,,
47-2142,,
47-2151,,
47-2152,,
47-2161,,
47-2171,,
47-2181,,
47-2211,,
47-2221,,
47-2231,,
47-3011,,
47-3012,,
47-3013,,
47-3014,,
47-3015,,
47-3016,,
47-3019,,
47-4011,,
47-4021,,
47-4031,,
47-4041,,
47-4051,,
47-4061,,
47-4071,,
47-4091,,
47-4099,,
47-5011,,
47-5012,,
47-5013,,
47-5022,Operation and Control,4.12
47-5023,,
47-5032,,
47-5041,,
47-5043,,
47-5044,,
47-5049,,
47-5051,,
47-5071,,
47-5081,,
47-5099,,
49-1011,,
49-2011,,
49-2021,,
49-2022,,
49-2091,,
49-2092,Repairing,4.12
49-2093,,
49-2094,,
49-2095,,
49-2096,,
49-2097,,
49-2098,,
49-3011,Operations Monitoring,4.12
49-3011,Equipment Maintenance,4.25
49-3011,Troubleshooting,4.12
49-3011,Repairing,4.25
49-3021,,
49-3022,,
49-3023,,
49-3031,,
49-3041,,
49-3042,Troubleshooting,4.12
49-3042,Repairing,4.12
49-3043,,
49-3051,,
49-3052,,
49-3053,,
49-3091,,
49-3092,,
49-3093,,
49-9011,,
49-9012,,
49-9021,,
49-9031,,
49-9041,,
49-9043,,
49-9044,,
49-9045,,
49-9051,,
49-9052,,
49-9061,,
49-9062,Repairing,4.25
49-9063,,
49-9064,,
49-9069,,
49-9071,,
49-9081,,
49-9091,,
49-9092,,
49-9094,,
49-9095,,
49-9096,,
49-9097,Troubleshooting,4.12
49-9098,,
49-9099,,
51-1011,,
51-2011,,
51-2021,,
51-2022,,
51-2023,,
51-2031,,
51-2041,,
51-2051,,
51-2061,,
51-2092,,
51-2099,,
51-3011,,
51-3021,,
51-3022,,
51-3023,,
51-3091,,
51-3092,,
51-3093,,
51-3099,,
51-4021,,
51-4022,,
51-4023,,
51-4031,,
51-4032,,
51-4033,,
51-4034,,
51-4035,,
51-4041,,
51-4051,,
51-4052,,
51-4061,,
51-4062,,
51-4071,,
51-4072,,
51-4081,,
51-4111,,
51-4121,,
51-4122,,
51-4191,,
51-4192,,
51-4193,,
51-4194,,
51-4199,,
51-5111,,
51-5112,,
51-5113,,
51-6011,,
51-6021,,
51-6031,,
51-6041,,
51-6042,,
51-6051,,
51-6052,,
51-6061,,
51-6062,,
51-6063,,
51-6064,,
51-6091,,
51-6092,,
51-6093,,
51-6099,,
51-7011,,
51-7021,,
51-7031,,
51-7032,,
51-7041,,
51-7042,,
51-7099,,
51-8011,,
51-8012,,
51-8013,,
51-8021,,
51-8031,,
51-8091,Operations Monitoring,4.12
51-8092,Operations Monitoring,4.12
51-8093,,
51-8099,,
51-9011,,
51-9012,,
51-9021,,
51-9022,,
51-9023,,
51-9031,,
51-9032,,
51-9041,,
51-9051,,
51-9061,,
51-9071,,
51-9081,,
51-9082,,
51-9083,,
51-9111,,
51-9123,,
51-9124,,
51-9141,,
51-9151,,
51-9161,Operations Monitoring,4.12
51-9161,Operation and Control,4.12
51-9162,Programming,4.12
51-9191,,
51-9192,,
51-9193,,
51-9194,,
51-9195,,
51-9196,,
51-9197,,
51-9198,,
51-9199,,
53-1041,,
53-1042,,
53-1043,,
53-1044,,
53-1049,,
53-2011,Active Listening,4.12
53-2011,Critical Thinking,4.12
53-2011,Monitoring,4.12
53-2011,Operations Monitoring,4.62
53-2011,Operation and Control,4.88
53-2012,Monitoring,4.12
53-2012,Operations Monitoring,4.38
53-2012,Operation and Control,4.75
53-2021,Active Listening,4.38
53-2021,Speaking,4.25
53-2021,Critical Thinking,4.12
53-2021,Judgment and Decision Making,4.12
53-2022,,
53-2031,Speaking,4.12
53-3011,,
53-3031,,
53-3032,,
53-3033,,
53-3051,,
53-3052,,
53-3053,,
53-3054,,
53-3099,,
53-4011,Operation and Control,4.12
53-4013,,
53-4022,,
53-4031,,
53-4041,,
53-4099,,
53-5011,,
53-5021,,
53-5022,,
53-5031,,
53-6011,,
53-6021,,
53-6031,,
53-6032,,
53-6041,,
53-6051,,
53-6061,,
53-6099,,
53-7011,,
53-7021,,
53-7031,,
53-7041,,
53-7051,,
53-7061,,
53-7062,,
53-7063,,
53-7064,,
53-7065,,
53-7071,,
53-7072,,
53-7073,,
53-7081,,
53-7121,,
53-7199,,
55-1011,,
55-1012,,
55-1013,,
55-1014,,
55-1015,,
55-1016,,
55-1017,,
55-1019,,
55-2011,,
55-2012,,
55-2013,,
55-3011,,
55-3012,,
55-3013,,
55-3014,,
55-3015,,
55-3016,,
55-3018,,
55-3019,,
