2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Major Occupation Group
        Stonemasons,47-2022,Line item,12.4,12.0,0.0,0.0,-0.4,-3.6,19.7,0.8,51830.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
      Carpenters,47-2031,Line item,923.1,961.6,0.5,0.6,38.6,4.2,23.6,76.5,56350.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
        Carpet installers,47-2041,Line item,20.3,18.5,0.0,0.0,-1.8,-8.9,24.4,1.2,47520.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
"        Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,32.8,36.1,0.0,0.0,3.3,10.1,24.4,2.8,48840.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
        Floor sanders and finishers,47-2043,Line item,6.6,6.8,0.0,0.0,0.2,2.5,24.4,0.5,47760.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
        Tile and stone setters,47-2044,Line item,55.6,61.4,0.0,0.0,5.8,10.4,24.3,4.7,48910.0,No formal educational credential,,Long-term on-the-job training,Construction and Extraction
        Cement masons and concrete finishers,47-2051,Line item,211.8,210.3,0.1,0.1,-1.5,-0.7,3.2,15.2,50720.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
        Terrazzo workers and finishers,47-2053,Line item,1.5,1.4,0.0,0.0,-0.1,-8.4,,0.1,48900.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
      Construction laborers,47-2061,Line item,1401.2,1516.6,0.8,0.9,115.4,8.2,26.6,133.1,45300.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
"        Paving, surfacing, and tamping equipment operators",47-2071,Line item,44.5,46.3,0.0,0.0,1.7,3.9,2.4,3.9,48980.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
        Pile driver operators,47-2072,Line item,3.1,3.3,0.0,0.0,0.1,4.6,2.7,0.3,63550.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
        Operating engineers and other construction equipment operators,47-2073,Line item,468.0,487.6,0.3,0.3,19.6,4.2,2.2,41.5,56160.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
        Drywall and ceiling tile installers,47-2081,Line item,116.6,120.4,0.1,0.1,3.8,3.3,21.6,8.5,55700.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
        Tapers,47-2082,Line item,20.0,19.8,0.0,0.0,-0.1,-0.7,21.6,1.4,63350.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
      Electricians,47-2111,Line item,779.8,864.1,0.5,0.5,84.3,10.8,6.9,80.2,61590.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
      Glaziers,47-2121,Line item,56.5,58.6,0.0,0.0,2.1,3.8,4.8,5.6,51100.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
"        Insulation workers, floor, ceiling, and wall",47-2131,Line item,39.1,40.2,0.0,0.0,1.0,2.7,0.9,3.4,47540.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
"        Insulation workers, mechanical",47-2132,Line item,23.4,24.6,0.0,0.0,1.2,5.1,0.8,2.1,53920.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
"        Painters, construction and maintenance",47-2141,Line item,338.9,352.4,0.2,0.2,13.6,4.0,35.9,28.0,47700.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
        Paperhangers,47-2142,Line item,2.9,3.1,0.0,0.0,0.2,5.7,36.8,0.2,48460.0,No formal educational credential,,Long-term on-the-job training,Construction and Extraction
        Pipelayers,47-2151,Line item,37.3,36.4,0.0,0.0,-0.9,-2.3,0.6,2.7,47330.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
"        Plumbers, pipefitters, and steamfitters",47-2152,Line item,473.4,499.7,0.3,0.3,26.3,5.6,6.1,43.3,61550.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
      Plasterers and stucco masons,47-2161,Line item,24.1,24.9,0.0,0.0,0.8,3.3,6.1,1.7,52640.0,No formal educational credential,,Long-term on-the-job training,Construction and Extraction
      Reinforcing iron and rebar workers,47-2171,Line item,21.9,22.9,0.0,0.0,0.9,4.2,19.9,1.7,54850.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
      Roofers,47-2181,Line item,168.1,177.9,0.1,0.1,9.8,5.8,17.4,13.6,50030.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
      Sheet metal workers,47-2211,Line item,124.2,127.1,0.1,0.1,2.9,2.3,4.1,11.5,58780.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
      Structural iron and steel workers,47-2221,Line item,66.1,68.9,0.0,0.0,2.7,4.1,2.2,5.8,62760.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
      Solar photovoltaic installers,47-2231,Line item,25.0,37.0,0.0,0.0,12.0,48.0,1.6,4.1,48800.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
"      Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,17.1,15.6,0.0,0.0,-1.6,-9.1,2.1,1.6,42470.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
      Helpers--carpenters,47-3012,Line item,22.3,21.6,0.0,0.0,-0.7,-3.0,2.1,2.3,39380.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
      Helpers--electricians,47-3013,Line item,71.5,72.2,0.0,0.0,0.7,1.0,2.0,7.7,38340.0,High school diploma or equivalent,,Short-term on-the-job training,Construction and Extraction
"      Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,7.8,8.0,0.0,0.0,0.1,1.9,2.1,0.9,37010.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
"      Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,47.1,49.8,0.0,0.0,2.8,5.9,2.1,5.5,37650.0,High school diploma or equivalent,,Short-term on-the-job training,Construction and Extraction
      Helpers--roofers,47-3016,Line item,4.8,5.0,0.0,0.0,0.3,5.6,2.1,0.5,38620.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
"      Helpers, construction trades, all other",47-3019,Line item,28.0,30.4,0.0,0.0,2.3,8.3,2.0,3.4,40220.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
      Construction and building inspectors,47-4011,Line item,142.6,142.7,0.1,0.1,0.0,0.0,4.2,15.0,67700.0,High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,Construction and Extraction
      Elevator and escalator installers and repairers,47-4021,Line item,24.4,25.8,0.0,0.0,1.4,5.7,,2.2,102420.0,High school diploma or equivalent,,Apprenticeship,Construction and Extraction
      Fence erectors,47-4031,Line item,24.3,25.5,0.0,0.0,1.2,4.8,11.6,2.1,44410.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
      Hazardous materials removal workers,47-4041,Line item,50.3,50.9,0.0,0.0,0.5,1.0,,4.8,47280.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
      Highway maintenance workers,47-4051,Line item,160.4,166.5,0.1,0.1,6.1,3.8,1.8,13.9,47360.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
      Rail-track laying and maintenance equipment operators,47-4061,Line item,17.7,18.1,0.0,0.0,0.4,2.5,,1.3,67000.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
      Septic tank servicers and sewer pipe cleaners,47-4071,Line item,30.1,32.6,0.0,0.0,2.4,8.1,5.1,3.0,46910.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
      Miscellaneous construction and related workers,47-4090,Line item,31.6,32.9,0.0,0.0,1.3,4.0,5.8,3.0,47090.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
"        Derrick operators, oil and gas",47-5011,Line item,12.1,12.5,0.0,0.0,0.4,3.1,,1.2,58210.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
"        Rotary drill operators, oil and gas",47-5012,Line item,12.8,13.1,0.0,0.0,0.3,2.2,,1.3,61770.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
"        Service unit operators, oil and gas",47-5013,Line item,48.7,49.7,0.0,0.0,1.0,2.1,,4.9,55750.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
"        Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,34.4,34.1,0.0,0.0,-0.3,-0.8,3.9,3.5,50050.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Construction and Extraction
"        Earth drillers, except oil and gas",47-5023,Line item,18.9,19.7,0.0,0.0,0.8,4.0,3.9,2.1,56660.0,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,Construction and Extraction
"      Explosives workers, ordnance handling experts, and blasters",47-5032,Line item,4.8,4.8,0.0,0.0,0.1,1.2,,0.4,61590.0,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training,Construction and Extraction
        Continuous mining machine operators,47-5041,Line item,16.1,15.8,0.0,0.0,-0.3,-1.8,0.4,1.8,61420.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
"        Roof bolters, mining",47-5043,Line item,2.0,1.4,0.0,0.0,-0.6,-32.0,,0.1,66660.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
"        Loading and moving machine operators, underground mining",47-5044,Line item,5.3,4.1,0.0,0.0,-1.2,-22.9,,0.4,64070.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
"        Underground mining machine operators, all other",47-5049,Line item,2.6,2.5,0.0,0.0,-0.1,-4.5,,0.3,68910.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
"      Rock splitters, quarry",47-5051,Line item,3.7,3.8,0.0,0.0,0.1,2.8,1.5,0.4,46530.0,No formal educational credential,,Short-term on-the-job training,Construction and Extraction
"      Roustabouts, oil and gas",47-5071,Line item,46.0,48.6,0.0,0.0,2.5,5.5,,4.9,46340.0,No formal educational credential,,Moderate-term on-the-job training,Construction and Extraction
      Helpers--extraction workers,47-5081,Line item,7.7,7.8,0.0,0.0,0.1,1.8,1.5,0.9,45520.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
"      Extraction workers, all other",47-5099,Line item,7.4,7.4,0.0,0.0,0.0,-0.5,1.5,0.9,49580.0,High school diploma or equivalent,,Moderate-term on-the-job training,Construction and Extraction
"      First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,604.3,626.2,0.4,0.4,21.9,3.6,,50.6,75820.0,High school diploma or equivalent,Less than 5 years,,"Installation, Maintenance, and Repair"
"      Computer, automated teller, and office machine repairers",49-2011,Line item,85.7,84.0,0.1,0.0,-1.7,-2.0,8.6,8.2,45760.0,"Some college, no degree",,Short-term on-the-job training,"Installation, Maintenance, and Repair"
"        Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,12.0,12.9,0.0,0.0,0.8,6.8,1.2,1.3,61310.0,Associate's degree,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
"        Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,162.3,156.8,0.1,0.1,-5.5,-3.4,1.3,14.5,61270.0,Postsecondary nondegree award,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Avionics technicians,49-2091,Line item,21.9,23.5,0.0,0.0,1.7,7.6,,1.9,77420.0,Postsecondary nondegree award,,,"Installation, Maintenance, and Repair"
"        Electric motor, power tool, and related repairers",49-2092,Line item,17.7,18.6,0.0,0.0,0.9,5.0,8.1,1.8,49230.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
"        Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,7.6,8.2,0.0,0.0,0.5,6.9,,0.7,79160.0,Postsecondary nondegree award,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
"        Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,59.8,60.5,0.0,0.0,0.7,1.2,0.4,5.0,66680.0,Postsecondary nondegree award,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
"        Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,25.4,25.7,0.0,0.0,0.2,0.8,0.4,2.1,96600.0,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
"        Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,9.1,7.9,0.0,0.0,-1.2,-13.2,,0.6,45570.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Audiovisual equipment installers and repairers,49-2097,Line item,27.8,28.3,0.0,0.0,0.5,1.9,10.2,2.7,48380.0,Postsecondary nondegree award,,Short-term on-the-job training,"Installation, Maintenance, and Repair"
        Security and fire alarm systems installers,49-2098,Line item,86.0,93.4,0.1,0.1,7.4,8.6,1.7,9.5,56430.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
      Aircraft mechanics and service technicians,49-3011,Line item,141.4,148.7,0.1,0.1,7.3,5.2,0.6,11.5,75020.0,Postsecondary nondegree award,,,"Installation, Maintenance, and Repair"
        Automotive body and related repairers,49-3021,Line item,169.2,171.4,0.1,0.1,2.1,1.3,7.8,13.9,48740.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Automotive glass installers and repairers,49-3022,Line item,21.7,22.1,0.0,0.0,0.4,2.0,19.9,1.8,45320.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Automotive service technicians and mechanics,49-3023,Line item,794.6,815.9,0.5,0.5,21.2,2.7,13.5,67.8,47770.0,Postsecondary nondegree award,,Short-term on-the-job training,"Installation, Maintenance, and Repair"
      Bus and truck mechanics and diesel engine specialists,49-3031,Line item,300.2,308.7,0.2,0.2,8.5,2.8,2.9,25.6,58970.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Farm equipment mechanics and service technicians,49-3041,Line item,48.0,53.5,0.0,0.0,5.5,11.4,5.1,4.6,49210.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
"        Mobile heavy equipment mechanics, except engines",49-3042,Line item,191.1,207.3,0.1,0.1,16.2,8.5,5.7,17.7,61900.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Rail car repairers,49-3043,Line item,20.2,21.1,0.0,0.0,0.9,4.4,5.3,1.8,65030.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Motorboat mechanics and service technicians,49-3051,Line item,26.1,27.8,0.0,0.0,1.8,6.7,9.3,2.9,49990.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Motorcycle mechanics,49-3052,Line item,16.0,16.4,0.0,0.0,0.4,2.5,9.4,1.7,46270.0,Postsecondary nondegree award,,Short-term on-the-job training,"Installation, Maintenance, and Repair"
        Outdoor power equipment and other small engine mechanics,49-3053,Line item,40.0,41.2,0.0,0.0,1.2,2.9,9.0,4.2,44140.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Bicycle repairers,49-3091,Line item,14.5,15.3,0.0,0.0,0.8,5.6,3.1,2.0,38320.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Recreational vehicle service technicians,49-3092,Line item,18.4,20.2,0.0,0.0,1.8,9.9,3.0,2.6,47950.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Tire repairers and changers,49-3093,Line item,107.6,113.3,0.1,0.1,5.7,5.3,3.0,14.5,35790.0,High school diploma or equivalent,,Short-term on-the-job training,"Installation, Maintenance, and Repair"
        Mechanical door repairers,49-9011,Line item,27.7,30.9,0.0,0.0,3.2,11.4,,2.7,48650.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
"        Control and valve installers and repairers, except mechanical door",49-9012,Line item,48.8,49.6,0.0,0.0,0.8,1.6,,4.0,70100.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
"      Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,441.2,481.3,0.3,0.3,40.1,9.1,7.7,42.5,57300.0,Postsecondary nondegree award,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
      Home appliance repairers,49-9031,Line item,37.5,37.8,0.0,0.0,0.3,0.8,19.3,3.1,47170.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Industrial machinery mechanics,49-9041,Line item,429.5,503.3,0.3,0.3,73.8,17.2,1.6,43.5,61420.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
"        Maintenance workers, machinery",49-9043,Line item,59.0,63.6,0.0,0.0,4.6,7.8,1.3,5.8,57350.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Millwrights,49-9044,Line item,42.3,44.3,0.0,0.0,2.0,4.8,9.3,3.7,62980.0,High school diploma or equivalent,,Apprenticeship,"Installation, Maintenance, and Repair"
"        Refractory materials repairers, except brickmasons",49-9045,Line item,0.6,0.5,0.0,0.0,-0.1,-17.8,,0.0,48410.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Electrical power-line installers and repairers,49-9051,Line item,123.4,132.8,0.1,0.1,9.4,7.6,0.7,10.7,85420.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Telecommunications line installers and repairers,49-9052,Line item,102.2,99.4,0.1,0.1,-2.8,-2.7,2.8,8.8,64640.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Camera and photographic equipment repairers,49-9061,Line item,2.6,2.2,0.0,0.0,-0.4,-16.9,2.4,0.2,46850.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Medical equipment repairers,49-9062,Line item,67.0,79.3,0.0,0.0,12.3,18.4,2.6,7.3,60670.0,Associate's degree,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Musical instrument repairers and tuners,49-9063,Line item,6.3,6.4,0.0,0.0,0.1,1.5,2.7,0.5,42800.0,High school diploma or equivalent,,Apprenticeship,"Installation, Maintenance, and Repair"
        Watch and clock repairers,49-9064,Line item,1.9,1.9,0.0,0.0,0.0,0.0,2.7,0.2,58140.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
"        Precision instrument and equipment repairers, all other",49-9069,Line item,10.9,11.2,0.0,0.0,0.4,3.5,2.1,1.0,62040.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
"      Maintenance and repair workers, general",49-9071,Line item,1616.5,1698.3,1.0,1.0,81.8,5.1,1.4,157.2,46700.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
      Wind turbine service technicians,49-9081,Line item,11.4,18.2,0.0,0.0,6.8,60.1,12.0,2.1,61770.0,Postsecondary nondegree award,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
"        Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,39.3,39.2,0.0,0.0,-0.1,-0.4,6.7,4.0,44980.0,High school diploma or equivalent,,Short-term on-the-job training,"Installation, Maintenance, and Repair"
        Commercial divers,49-9092,Line item,3.2,3.5,0.0,0.0,0.3,8.3,11.8,0.4,61300.0,Postsecondary nondegree award,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Locksmiths and safe repairers,49-9094,Line item,17.6,15.8,0.0,0.0,-1.7,-9.9,13.2,1.8,48380.0,High school diploma or equivalent,,Long-term on-the-job training,"Installation, Maintenance, and Repair"
        Manufactured building and mobile home installers,49-9095,Line item,3.3,2.7,0.0,0.0,-0.6,-19.6,12.3,0.2,38980.0,High school diploma or equivalent,,Short-term on-the-job training,"Installation, Maintenance, and Repair"
        Riggers,49-9096,Line item,24.2,25.4,0.0,0.0,1.2,4.9,,2.7,56220.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
        Signal and track switch repairers,49-9097,Line item,9.3,9.5,0.0,0.0,0.2,2.3,9.6,0.9,82710.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
"        Helpers--installation, maintenance, and repair workers",49-9098,Line item,104.6,109.2,0.1,0.1,4.6,4.4,1.0,11.2,36710.0,High school diploma or equivalent,,Short-term on-the-job training,"Installation, Maintenance, and Repair"
"        Installation, maintenance, and repair workers, all other",49-9099,Line item,201.5,208.7,0.1,0.1,7.2,3.6,11.1,20.4,46500.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Installation, Maintenance, and Repair"
      First-line supervisors of production and operating workers,51-1011,Line item,690.9,695.1,0.4,0.4,4.2,0.6,2.0,64.6,65930.0,High school diploma or equivalent,Less than 5 years,,Production
"      Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,31.4,26.3,0.0,0.0,-5.2,-16.4,1.4,2.6,61240.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Coil winders, tapers, and finishers",51-2021,Line item,12.1,10.9,0.0,0.0,-1.1,-9.3,,1.1,44890.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,271.1,290.6,0.2,0.2,19.5,7.2,0.1,31.5,40490.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Engine and other machine assemblers,51-2031,Line item,49.0,38.6,0.0,0.0,-10.4,-21.3,,3.7,50270.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Structural metal fabricators and fitters,51-2041,Line item,59.3,50.3,0.0,0.0,-9.1,-15.3,1.4,4.9,48480.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Fiberglass laminators and fabricators,51-2051,Line item,20.9,21.8,0.0,0.0,1.0,4.6,1.5,2.4,40200.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Timing device assemblers and adjusters,51-2061,Line item,0.4,0.3,0.0,0.0,-0.1,-16.3,,0.0,48840.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Miscellaneous assemblers and fabricators,51-2090,Line item,1520.8,1527.9,0.9,0.9,7.0,0.5,1.5,163.7,38920.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Bakers,51-3011,Line item,243.4,256.1,0.1,0.1,12.7,5.2,8.5,40.4,34950.0,No formal educational credential,,Moderate-term on-the-job training,Production
        Butchers and meat cutters,51-3021,Line item,139.1,136.2,0.1,0.1,-2.9,-2.1,0.9,16.1,37650.0,No formal educational credential,,Long-term on-the-job training,Production
"        Meat, poultry, and fish cutters and trimmers",51-3022,Line item,141.1,147.7,0.1,0.1,6.6,4.7,0.9,17.9,36300.0,No formal educational credential,,Short-term on-the-job training,Production
        Slaughterers and meat packers,51-3023,Line item,72.8,73.8,0.0,0.0,1.0,1.4,0.9,8.8,38160.0,No formal educational credential,,Short-term on-the-job training,Production
"        Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,19.6,20.0,0.0,0.0,0.4,2.2,0.5,2.7,39850.0,No formal educational credential,,Moderate-term on-the-job training,Production
        Food batchmakers,51-3092,Line item,171.3,186.8,0.1,0.1,15.5,9.1,0.9,26.3,38460.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Food cooking machine operators and tenders,51-3093,Line item,30.7,31.1,0.0,0.0,0.3,1.0,3.2,4.1,38550.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Food processing workers, all other",51-3099,Line item,66.8,69.7,0.0,0.0,2.9,4.4,4.9,6.9,36890.0,No formal educational credential,,Moderate-term on-the-job training,Production
"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,64.1,65.3,0.0,0.0,1.3,2.0,0.6,6.7,44390.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,9.3,7.9,0.0,0.0,-1.5,-15.7,0.6,0.7,46990.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,25.0,23.1,0.0,0.0,-1.9,-7.7,0.6,2.3,47040.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,181.3,161.0,0.1,0.1,-20.3,-11.2,,15.1,42400.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,5.8,4.7,0.0,0.0,-1.1,-19.2,,0.4,44620.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,76.3,68.1,0.0,0.0,-8.2,-10.7,0.5,6.5,42610.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,19.7,17.5,0.0,0.0,-2.3,-11.4,,1.7,47110.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,14.1,12.3,0.0,0.0,-1.8,-12.9,,1.2,47200.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Machinists,51-4041,Line item,298.0,303.0,0.2,0.2,5.0,1.7,1.4,30.2,50840.0,High school diploma or equivalent,,Long-term on-the-job training,Production
        Metal-refining furnace operators and tenders,51-4051,Line item,21.4,20.4,0.0,0.0,-1.0,-4.8,2.1,1.9,50250.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Pourers and casters, metal",51-4052,Line item,5.6,5.2,0.0,0.0,-0.4,-6.7,2.1,0.5,48690.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Model makers, metal and plastic",51-4061,Line item,2.9,2.4,0.0,0.0,-0.5,-17.6,,0.2,64190.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Patternmakers, metal and plastic",51-4062,Line item,2.2,1.7,0.0,0.0,-0.5,-22.2,,0.1,49670.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Foundry mold and coremakers,51-4071,Line item,11.8,8.9,0.0,0.0,-2.9,-24.6,,0.7,44300.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,158.8,154.9,0.1,0.1,-3.9,-2.5,,15.1,38870.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"      Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,130.0,132.3,0.1,0.1,2.3,1.8,1.2,13.1,41600.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Tool and die makers,51-4111,Line item,59.1,53.3,0.0,0.0,-5.8,-9.7,0.5,5.1,61490.0,Postsecondary nondegree award,,Long-term on-the-job training,Production
"        Welders, cutters, solderers, and brazers",51-4121,Line item,454.5,463.8,0.3,0.3,9.3,2.0,6.1,45.8,48940.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
